,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,CONVERTERS,,,,,Converter for Paribu altcoins,,,,,,,,,,,,
,,,Bitmex capital in BTC calculator,,,USDTRY price,39.40930190,,Kraken converter,,,,,,,,,
,,,XBTUSD market price,104749.8,,E1,4149799.49007000,,Desired amount (USD),Desired level (USD),EUR to USD Exchange Rate,,,,,,,
,,,Capital in USD,27813,,E2,4135021.00185750,,247.00000000,65937.00000000,1.15555000,,,,,,,
,,,Capital in BTC,0.2655,,E3,4120242.51364500,,213.75102765,57061.13971702,,,,,,,,
,,,,,,E4,4105464.02543250,,,,,,,,,,,
,,,,,,E5,4090685.53722000,,,,,,,,,,,
,,,,,,USDTRY conversion,,,,,,,,,,,,
,,,,,,USD price,3.55,,,,,,,,,,,
,,,,,,TRY price,139.9030217,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,LONG,,,,,,,,,,SHORT,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,PRICE,AMOUNT,,,,,,,,,PRICE,AMOUNT,,,
,,T1,,4638.04935154,486212500.00000000,,5464.92967742,571358300.00000000,,,,T1,,0.09557836,8300.00000000,,0.10398889,9000.00000000
,,,,,,,,,,,,,,,,,,
,             PHASE 5 (Exits),TP1,110000.00000000,927.60987031,102037085.73378800,110000.00000000,1092.98593548,120228452.90322600,,,             PHASE 5 (Exits),TP1,76000.00000000,0.01911567,1452.79105641,76000.00000000,0.02079778,1580.63111111
,,TP2,115000.00000000,927.60987031,106675135.08532400,115000.00000000,1092.98593548,125693382.58064500,,,,TP2,74750.00000000,0.01911567,1428.89646667,74750.00000000,0.02079778,1554.63388889
,,TP3,120000.00000000,927.60987031,111313184.43686000,120000.00000000,1092.98593548,131158312.25806400,,,,TP3,73500.00000000,0.01911567,1405.00187692,73500.00000000,0.02079778,1528.63666667
,,TP4,125000.00000000,927.60987031,115951233.78839600,125000.00000000,1092.98593548,136623241.93548400,,,,TP4,72250.00000000,0.01911567,1381.10728718,72250.00000000,0.02079778,1502.63944444
,,TP5,130000.00000000,927.60987031,120589283.13993200,130000.00000000,1092.98593548,142088171.61290300,,,,TP5,71000.00000000,0.01911567,1357.21269744,71000.00000000,0.02079778,1476.64222222
,,T1,,4638.04935154,556565922.18430000,,5464.92967742,655791561.29032200,,,,T1,,0.09557836,7025.00938462,,0.10398889,7643.18333333
,,,,,,,,,,,,,,,,,,
, PHASE 6 (Rounding),TP1,110000.00000000,927.60987031,102037100.00000000,110000.00000000,1092.98593548,115091400.00000000,,, PHASE 6 (Rounding),TP1,76000.00000000,0.01911567,1500.00000000,76000.00000000,0.02079778,1800.00000000
,,TP2,115000.00000000,927.60987031,106675100.00000000,115000.00000000,1092.98593548,114681500.00000000,,,,TP2,74750.00000000,0.01911567,1400.00000000,74750.00000000,0.02079778,1800.00000000
,,TP3,120000.00000000,927.60987031,111313200.00000000,120000.00000000,1092.98593548,114271700.00000000,,,,TP3,73500.00000000,0.01911567,1400.00000000,73500.00000000,0.02079778,1800.00000000
,,TP4,125000.00000000,927.60987031,115951200.00000000,125000.00000000,1092.98593548,113861800.00000000,,,,TP4,72250.00000000,0.01911567,1400.00000000,72250.00000000,0.02079778,1800.00000000
,,TP5,130000.00000000,927.60987031,120589300.00000000,130000.00000000,1092.98593548,113451900.00000000,,,,TP5,71000.00000000,0.01911567,1400.00000000,71000.00000000,0.02079778,1800.00000000
,,T1,,4638.04935154,556565900.00000000,,5464.92967742,571358300.00000000,,,,T1,,0.09557836,7100.00000000,,0.10398889,9000.00000000
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,LADDERED ORDERS,,,,,,,,,,,,,,
,,,,Long,,Short,,,,,,,,,,,,
,,,,S1,105300.00000000,R2,92000.00000000,,,,,,,,,,,
,,,,S2,103800.00000000,R1,88500.00000000,,,,,,,,,,,
,,,,Capital,5464.92967742,Capital,1000.00000000,,,,,,,,,,,
,,,,Levels,Coin volume,Levels,Coin volume,,,,,,,,,,,
,,,E1,105300.00000000,546.49296774,92000.00000000,100.00000000,,,,,,,,,,,
,,,E2,105112.50000000,546.49296774,91562.50000000,100.00000000,,,,,,,,,,,
,,,E3,104925.00000000,546.49296774,91125.00000000,100.00000000,,,,,,,,,,,
,,,E4,104737.50000000,546.49296774,90687.50000000,100.00000000,,,,,,,,,,,
,,,E5,104550.00000000,546.49296774,90250.00000000,100.00000000,,,,,,,,,,,
,,,E6,104550.00000000,546.49296774,90250.00000000,100.00000000,,,,,,,,,,,
,,,E7,104362.50000000,546.49296774,89812.50000000,100.00000000,,,,,,,,,,,
,,,E8,104175.00000000,546.49296774,89375.00000000,100.00000000,,,,,,,,,,,
,,,E9,103987.50000000,546.49296774,88937.50000000,100.00000000,,,,,,,,,,,
,,,E10,103800.00000000,546.49296774,88500.00000000,100.00000000,,,,,,,,,,,
,,,Total,,5464.92967742,,1000.00000000,,,,,,,,,,,
